test_index,true_label,tfidf_pred,tfidf_conf,Fine-tuned DistilBERT_pred,Fine-tuned DistilBERT_conf,tfidf_correct,Fine-tuned DistilBERT_correct,text,tfidf_product_masked_pred,tfidf_flipped_after_product_masking,Fine-tuned DistilBERT_product_masked_pred,Fine-tuned DistilBERT_flipped_after_product_masking,case_type
241,Mortgage,Bank account or service,0.5343704743816236,Bank account or service,0.5477017760276794,False,False,wellfargo. took money form my checking account. and in stad of puting it in my mortgage account it put it in my principal that was over {$15000.00} in the account.know i cant pay bills and mortgage on time.thats was whit the money was for.I went to tell them whit happen and said day coud not do anyting about it.,Bank account or service,False,Bank account or service,False,both_wrong
242,Bank account or service,Bank account or service,0.7075054722654779,Bank account or service,0.9524717330932617,True,True,"On XXXX XXXX, XXXX I checked my Bank of America account to find that my balance was {$0.00}. There was a HOLD posted for {$2900.00} by the bank. When I contacted Bank of America I was informed that the hold for a judgment and they gave me a phone number to call of a collection agency. I contacted the agency and was informed that there was a judgment against me from XXXX for a medical bill in the amount of {$680.00} ( the original bill was {$250.00} in XXXX ) I then contacted the obgyn office to confirm and we concluded that notices were sent to the incorrect address. I immediately called the collection agency and settled the balance. The agency sent me the documentation which was sent to Bank of America in the amount of {$680.00}. She also faxed me a coy of the receipt for payment, original bill and letter to Bank of America to release all funds immediately. I called the customer service dept at BOA and requested clarification and documentation as to why {$2900.00} was removed from my account when the judgment was for {$680.00}. They refused to provide any documentation to support the {$2900.00}, refused to credit back the additional funds and informed me that I would be receiving a check in the mail in 3-5 business days for {$2200.00} ( my $ XXXX {$680.00} for the judgment ). I explained that I have already paid the collector ( which I have scanned copies from the office supporting the letter to BOA for {$680.00}, the letter to release funds and my receipt of payment to settle the account ) and I can not wait to have the funds replaced. There are several outstanding checks that have not cleared and without those funds the checks will bounce. After over an hour on the phone with BOA explaining the situation to multiple people, they said that their legal department will not speak to customers but they informed the BOA customer service manager that the collection agency 's letter stated to remove the {$2900.00} for "" housing expenses '' the judgment was for an XXXX. I informed him that I have a copy of the letter that was sent to BOA as well as confirmation from the employee who issued the letter XXXX stating that BOA was completely wrong. They are still continuing to hold all of my funds. I told them I can understand holding the {$680.00} until the letter has been processed, as these things take time. But I can not understand how they can legally withhold the rest of my funds without cause.",Bank account or service,False,Bank account or service,False,both_right
243,Credit reporting,Credit reporting,0.919199855403665,Credit reporting,0.9704281687736511,True,True,"On XXXX XXXX 2015, I received a letter from the XXXX XXXX XXXX XXXX stating that my personal information had been compromised in a cyberattack. As a preventative measure, I placed security freezes on my credit reports at all XXXX agencies around the date of XXXX XXXX 2015. I checked my credit score at TransUnion online, the last credit reporting agency on my list. In a hurry to complete my list, I accidentally signed up for a "" credit lock product '' on the TransUnion website. It was unclear until a month later as I was reviewing my credit card statement that this monitoring service cost $ XXXX/mo. Attempting to turn off the service via the their phone help line and online terminals was unnecessarily complicated, taking no less than an hour and a half of my time on the phone after several failed attempts to cancel the service online. After that, I was instructed to call the automated security freeze phone line to place a security freeze on my credit report. Again, I tried via their online terminal and automated security freeze line to place a security freeze on my credit report, I was unsuccessful after repeated attempts. Shortly thereafter, I wrote the TransUnion fraud department a letter ( see attached ), requesting a freeze be placed on my account and furnishing all the information necessary to do so. They sent a form letter and a "" security freeze request form '' in response, which I am filling out and returning today. In comparison to my experience with the other credit reporting agencies, the process I endured attempting to place a security freeze on my credit report with TransUnion was downright onerous. Their customer service was n't helpful. Their description of their "" credit lock product '' was unclear and misleading. The monitoring service was very difficult to cancel. Their website and automated help line failed with every attempt I made to place a freeze on my report. It was nothing short of a great, big hassle and six weeks later, I still have not achieved my relatively simple goal.",Credit reporting,False,Credit reporting,False,both_right
244,Bank account or service,Bank account or service,0.6875713240312541,Bank account or service,0.9002290368080139,True,True,"I submit equity line applications through a branch in Wells Fargo. During the underwriter 's review, I was asked to prove that I have XXXX in liquid assets. I had explained to them that I have equity lines with another bank and can easily pull XXXX in cash, but they insist that I need that amount in cash. So they declined my applications. And I talked with another branch of Wells Fargo, I was told that I should be able to do withdrawing the applications, but the banker I worked with told me no. 
1. Requesting XXXX in cash for an equity line applications is unreasonable. If I had worked with another bank for an equity line application, they never had that kind of unreasonable request. If I had that amount in cash, why I would need the equity lines for? 
2. XXXX is not a small amount. If that could be a requirement for an approval, I need to be notified by that before I started the applications. Otherwise, I would have applied for something which is guaranteed not to be approved. 
3. I told the banker that I would not start the applications at all if I were told that I need XXXX in cash before they declined my applications. Why they declined my applications without asking me if I wanted to withdraw them?",Bank account or service,False,Bank account or service,False,both_right
245,Bank account or service,Bank account or service,0.9542112947659699,Bank account or service,0.9499190449714661,True,True,Rush card has not released my direct deposit. I am unable to withdraw any funds from my account.,Bank account or service,False,Bank account or service,False,both_right
246,Credit card,Credit card,0.9716411786968872,Credit card,0.9691835045814514,True,True,"I applied for the Amercian Express card. I have charged XXXX dollars on the card. Because of a bad service I decided to cancel card after couple of weeks. I cut the american express card. When I received the bill and wanted to pay it through bill pay, American Express bill did not have the full account number. I called and requested that my account number be sent to my home address on record after answering all the security questions. American Express refused and insisted on getting my own financial information over the phone. I am not comfortable giving my bank information to a customer service rep who might be in a different country. 
I am concerned that not paying the bill on time will affect my credit history which is excellent. I just need the account number to pay the bill and they are refusing. All other major credit card companies have the account number of the bill. I do n't understand the problem.",Credit card,False,Credit card,False,both_right
247,Credit card,Credit card,0.9762472119656777,Credit card,0.9683549404144287,True,True,"I am writing in regards to Capital One Platinum credit card. I received an offer for a new Platinum credit card in the mail about a year ago. It had a XXXX percent balance transfer offer. I calculated the amount I would need to pay in order for me to pay off the balance completely by the time the introductory rate would begin. I began making $ 500 monthly payments to the Capital One account on a monthly basis. I was told when I opened the card that I was allowed to pay the balance in advance with no penalty. After paying the XXXX monthly payment to Capital One for about 6 months, and never hearing from them via phone, email, or mail, I logged on to my account to see what was left of the balance. To my surprise I was billed a late fee for numerous months. Having made {$500.00} payments for approximately 6 months I should have been paid through the end of the year. After calling Capital One I was informed that they do not allow consumers to make payments in advance. 

How is it legal for Capital One to not allow me to pay in advance. I pay my car loan payment 3 months and I pay all of my other credit cards 1-2 months in advance. I have never had in institution tell me that they do not accept payments in advance and regardless of timing if they do not receive a payment by each months due date, even if that amount has already been paid in advance, that they will bill me a late fee. If they have received the funds and I am paying as agreed how can I be assessed late fees on monies already received by Capital One. How can this be legal?",Credit card,False,Credit card,False,both_right
248,Credit reporting,Credit card,0.9278750298629107,Credit card,0.7857456803321838,False,False,"This is not my account. I never had a XXXX XXXX XXXX credit card to date. I especially have never had any credit card with a limit of {$17.00}, XXXX. This must be a case of mistaken identity.",Credit reporting,True,Credit reporting,True,both_wrong
249,Debt collection,Debt collection,0.5664617088643763,Debt collection,0.9273789525032043,True,True,call me sunday morning XXXX a day. numerous calls restricted line and bank call and evine line. tell them I need an extension but will not extend. but calls all times of the day sometime XXXX a day. evine live and syncb bank call me from different numbers and harass me. and threaten me.,Debt collection,False,Debt collection,False,both_right
250,Credit card,Credit card,0.4100858168744267,Credit card,0.9390241503715515,True,True,"My credit report is absolutely perfect, other than this error, showing a 30 day past due payment on a Kohl 's card through Cap One. I am not a slow payer or having financial difficulties. There was an issue with my checking account, where the bank mis-posted a cash deposit to the wrong checking account. This caused my Kohl 's payment to bounce and I went past due because they had the wrong phone number on file for me and could not reach me. Since I live in the XXXX, I only get my mail weeks later. When I found out about the issue, I immediately made payment and advised Kohl 's of the bank issue. I disputed this with Kohl 's and they refused to fix it. I had my bank send them a letter explain that it was not my fault. I thought that with this letter Kohl 's would have cleared up the matter, but I just pulled my report and it is still on there. When I called Kohl 's they said that even though I attempted to and had all intentions of paying and was victim of a bank error, they will not correct my credit bureau. I am not asking anyone to fix something that was my fault. If XXXX bank causes an issue, that should count. They claim they are not permitted to change the reporting unless it was their error. I just do n't believe that is a fair practice and I suspect that is not a rule they apply consistently because others, report on line that having proof of a bank error should and does result in the credit bureau being corrected. I do n't know what to do next, but try this route in hopes that you agree that I am not being treated fairly.",Credit card,False,Credit card,False,both_right
251,Credit reporting,Credit reporting,0.9522495606342929,Credit reporting,0.9702634811401367,True,True,"Per Equifax reinvestigation confirmation dated XX/XX/XXXX, Equifax has provided my information to XXXX XXXX, XXXX, and XXXX without my permission and authorization. I did not file a dispute concerning these XXXX companies. I do n't have an active account with XXXX XXXX. I have never had a XXXX account. I do have an account with XXXX, but I do n't have any disputes regarding my XXXX account. It hasnothing to do with my account Equifax dispute. Also, per this confirmation, Equifax has removed my home address from my credit file. I did not dispute my address and Equifax has refused to tell me why they removed my home address. Equifax requested a copy of a bill showing my home address. I provided Equifax with copies of my current XXXX XXXX XXXX bills in order to restore my home address as the 1st previous address on my credit file. My PO Box address is listed as the current address. My issue with Equifax began with a fraudulent inquiry from XXXX XXXX XXXX. Following my request that Equifax remove thefraudulent inquire, Equifax has continued to escalate the issue by removing my home address and now sending my information to XXXX more companies. I have contacted Equifax via telephone numerous times and by submitting numerous disputes. I have placed a security freeze on my credit file. As a result of the credit freeze, Equifax sent me a letter stating that they have received a new address and change of address request. I do not have a new address and I did not submit a change of address. Equifax is referring to my PO Box as a new address. My PO Box has been on my Equifax file since XX/XX/XXXX. It is not new. I have attached a copy of the confirmations dated XX/XX/XXXX and XX/XX/XXXX, along with a copy of the change of address notification that I received. This is beyond ridiculous! 

I want to know what information was provided to XXXX XXXX, XXXX, and XXXX. I want a copy of the documents that were provided to each of them. I want to knowwhy my information was provided to these XXXX companies. I want my home address restored as the 1st previous address on my credit file as it was on my Equifax XXXX dated XX/XX/XXXX and prior. I want a correct copy of my Equifax credit file that includes my physical home address as the 1st previous address.",Credit reporting,False,Mortgage,True,both_right
252,Mortgage,Mortgage,0.7067093964576703,Mortgage,0.8133770227432251,True,True,"XXXX Requests fraudulent charges made to XXXX primary note account be refunded to XXXX XXXX XXXX. 
Chase stated nothing would change for XXXX XXXX concerning Insurance and tax handling from previous agreements concerning primary note of XXXX XXXX. Chase had always honored from XXXX till on or about XXXX XXXX a time when Chase sought to sale primary mortgage to XXXX XXXX. 
XXXX XXXX position concerning insurance is as follows. Chase broker did warrantee to XXXX XXXX that Chase would honor in future that which it had always respected in past such that XXXX handled all insurance himself for his benefit ONLY Chase breached XXXX agreement on or about XXXX XXXX. Chase then to sale primary note began to demand insurance changes to XXXX XXXX and placement requirements as to make Chase beneficiary on polices and increase both amount of Insurance and number of risks covered. Such changes were to benefit Chase not investors. Chase to make primary note salable to XXXX XXXX began aggressive attacks on XXXX beginning on or about XXXX XXXX. Chase thus broke verbal contract that had always been honored until that date from XXXX XXXX. Chase increased XXXX XXXX insurance costs over XXXX percent and charged same to XXXX accounts while demanding XXXX purchase additional Flood insurance as well. On breaching contract Chase sighted clauses in written contract that XXXX was not aware of nor had read to him before signing and Chase Primary note broker misrepresented while warranting XXXX prior agreement and handling of insurance and taxes would remain the same. Chase also demanded at this time XXXX purchase Flood insurance and make Chase beneficiary. XXXX had no risk for flood insurance although property was in FEMA new 20 year flood plan, Part of undeveloped dirt without improvements were below new XXXX foot flood plan. However XXXX knew from lay of land flooding was more likely than not very unlikely. XXXX proved lack of risk by purchasing a survey that showed no special risk to improvements due to flood for all improvements. Survey showed improvements above XXXX foot sea level flood plan and same was provided to Chase in breach of contract brought about by Chase. Survey proved XXXX point. Except for XXXX inch at beginning of garage floor some XXXX square feet of concreate flooring, which XXXX routinely washed with water because water IMPROVED it yet flooding never touched. Yet, from XXXX till present Chase has charged XXXX account for XXXX dollars each year now over XXXX dollars and growing while Chase claims if XXXX purchased same for Chase cost would be lower. Well, XXXX is not in habit of buying banks protections. XXXX XXXX XXXX Florida experienced flooding worst in over 200 years XXXX was high and dry nothing damaged over this same period. These actions taking place contributed to XXXX XXXX later default and increased risks to investors without investor knowledge. Chase by taking action to breach agreements concerning Insurance while increasing XXXX cost of same at time of transfer of mortgage to XXXX XXXX amounted to representations and warranties advanced to XXXX XXXX and investors which did not represent risk or costs of Chase breach of contract imposed on XXXX. Such changes in Insurance did not decrease investors risk but increased investor risk and risk of XXXX default, for Chase and insurance partner 's short term gains of insurance premium charges. 
Chase Charges to XXXX accounts without risk amounts to fraudulent charges which Chase externalized to XXXX for internalization of gains to Chase or partners in fact were fraudulent charges unauthorized by XXXX.",Mortgage,False,Credit card,True,both_right
253,Bank account or service,Bank account or service,0.8207499367890323,Bank account or service,0.9775196313858032,True,True,"For some unknown reasons, Bank of America closed all of my accounts like checking, saving, and credit accounts. I tried to contact some banking representatives but they explained that my accounts was closed for "" business decision '' and they ca n't give any further information. I just need to know what I did wrong so that I can avoid in future banking",Bank account or service,False,Bank account or service,False,both_right
254,Credit card,Credit card,0.9229112691477196,Credit card,0.9470925331115723,True,True,I just want to let you know that I never had an American Express card. I want it off my XXXX report because it should have never been there.,Credit card,False,Credit card,False,both_right
255,Bank account or service,Credit card,0.5514170064499939,Credit card,0.9082924723625183,False,False,"I had a bank account with Wells Fargo, through which I also had a linked credit card that had a "" protection plan '' on it for if I was ever hurt or laid off, and therefore unable to make payments. After years of paying the fees for it, when it came time to use the service ( I was laid off ) they made one payment for me then refused to pay any more. I sent in the appropriate paperwork then XXXX letters requesting the service be turned on, before I finally had to file bankruptcy and lost everything I owned. This was not my only credit card at the time, but it was one of the few with payment protection and it could have made a large difference, especially because I ended up being overdrawn and losing the bank account due to their overdraft fees - they would not stop charging against the account, *even after it was closed*. I never received a single response to any of the letters I sent requesting the service I had paid them for years for.",Mortgage,True,Bank account or service,True,both_wrong
256,Credit card,Credit card,0.7488314343444011,Credit card,0.965026319026947,True,True,"On or about XXXX XXXX, 2015 ordered a XXXX computer from XXXX, by telephone. XXXX charged on my Chase Visa card {$540.00} for the purchase of the XXXX computer which was to be shipped. Never took possession of the item. Disputed the charge same day I received my XX/XX/XXXX charge statement. On XXXX XXXX, 2015 XXXX sent me an email that they had credited my XXXX account for {$540.00}. I shared the email with Chase in reference to the dispute. Chase advised that it would take two billing cycles to make my dispute credit permanent ( advised this by no fewer than XXXX CSR 's, since they did n't show the credit from XXXX. Two billing cycles have past and Chase now says they have charged XXXX back -date undetermined, but the credit to my account remains as a temporary dispute credit for an indeterminate amount of time. Spoke with a XXXX XXXX, supervisor in disputes, "" Dispute Department in XXXX XXXX, TX '', on Monday XXXX XXXX, 2015. XXXX XXXX told me that they must give XXXX ample time to respond, despite XXXX 's email to me and failure to respond to Chase since XXXX XXXX, 2015 and today being XXXX XXXX, 2015. XXXX XXXX refused to allow me to escalate my call, nor to give me a time when this credit will become permanent. He apologized, but said that this would remain open until they deem that XXXX through their merchant banking bank has had ample time to respond, but they apparently have no decision date or will not share it with me. There seems to be no end to the permanent resolution of this matter, and I have been blocked from escalating this matter at Chase. I classify this as lost money until the credit becomes permanent.",Credit card,False,Credit card,False,both_right
257,Debt collection,Debt collection,0.9875226080266516,Debt collection,0.9578955173492432,True,True,collection agency has tried to make attempts collecting a debt that was settled directly with the vendor months ago. They have contacted family members as well attempting to collect a debt that is paid.,Debt collection,False,Credit card,True,both_right
258,Mortgage,Mortgage,0.6327834061824241,Mortgage,0.9609801173210144,True,True,"Please cross reference this complaint with a previous filed complaint # XXXX against XXXX XXXX XXXX. Bank of America , N.A . ( "" BANA '' ) was the previous alleged servicer/debt collector for the loan. On XXXX XXXX, XXXX, I sent a letter to BANA ( attached with complaint ) requesting information on a Beneficiary Declaration. I asked if a Beneficiary Declaration was sent to the foreclosure trustee company, XXXX XXXX XXXX and if one was sent, to please send me a copy of it. I received a response ( attached with complaint ) from BANA, dated XXXX XXXX, XXXX. The response did not answer my question, and instead it totally ignored my request and directed me to ask any questions to XXXX. I sent follow-up letters ( attached with complaint ) to BANA on XXXX XXXX, XXXX, and XXXX XXXX, XXXX, requesting the same information in both. I have yet to receive any acknowledgement or response from XXXX at the time of filing this complaint on XXXX XXXX, XXXX. I request that the CFPB compel BANA to answer my request and provide the information requested. BANA has my permission to communicate with the CFPB on this matter. 
The subject property is XXXX XXXX XXXX, XXXX WA XXXX",Mortgage,False,Bank account or service,True,both_right
259,Bank account or service,Bank account or service,0.8388715757949881,Bank account or service,0.9789287447929382,True,True,"To Whom this may concern, This is my third attempt to try and resolve my issues with US Bank outside of the court system. US Bank is reporting me to XXXX even though they said, : "" If you pay the amount off in full, we will update and remove you from XXXX. '' I have over a dozen calls logged to US Bank along with some letters. In addition, because I opened my account online, I did n't have a home branch to work with, like the US Bank representatives requested I did. My last letter from US Bank referenced "" fees '' after I expressed that I felt I was charged in excessive. Per the letter, each branch will have "" fee '' brochure available in the lobby. After visiting the XXXX XXXX, Ca lobby ( pictures attached ), I was unable to locate them. SO, I was never provided the fees nor does this branch have them available, at the time I visited. If US Bank is not going to remove me from XXXX 's I would like to know why since the transaction was under {$100.00}, but I paid over {$200.00} in fees.",Bank account or service,False,Bank account or service,False,both_right
260,Credit card,Credit card,0.8301387833561846,Credit card,0.9682552218437195,True,True,"A few months ago, I received a voice message apparently was about my Barclay Credit Card. I returned their call to clarify the matter, but the person I talked to started to ask for my personal information including my SSN. Knowing that I do n't have any credit card with Barclay, I readily said that I am not giving any information about myself because I do n't have any credit card with Barclay and I have no intention of applying for XXXX. 
I continue to receive phone calls from them in which I did not pay attention for obvious reasons. Until I heard another voice mail that it was now under fraud investigation. Out of curiosity, I again returned their call. When I asked about the fraud investigation, the guy again started to ask for my personal information which I refused. I told him that I do n't have any credit card issued by Barclay and if there are applications under my name, they should not approved them. 
On XXXX XXXX, 2015, I received a mail from certain XXXX XXXX dated XXXX XXXX, 2015 informing me that their investigation has concluded and the fraud claim has been denied. That, I will be responsible for the payment on the account as well as any applicable associated fees and finance charges. I immediately responded to XXXX XXXX on XXXX XXXX, 2015 informing them again that I did not apply for any Barclay cards and have no intention of applying for XXXX. That I will not be responsible for the payment of any account relating to any Barclay Cards for it is obviously fraudulent. 
When I was checking my credit score yesterday via XXXX XXXX, I was so upset to learn that I have a past due account with Barclay amounting to {$1700.00} which is now XXXX days late with XXXX missed payment and at 86.15 % credit utilization. Apparently, the account was open last XXXX XXXX, 2015 but was just recently reported to the credit bureaus. This account was only added to my credit report after my last update on XXXX XXXX, 2015. 
I immediately filed disputes to all XXXX credit bureaus about this account. This fraudulent transaction had significantly affected my current credit score. Thus, this complaint.",Credit card,False,Credit card,False,both_right
261,Credit reporting,Debt collection,0.3963502433330912,Credit reporting,0.8903465270996094,False,True,"We filed a complaint with XXXX XXXX about the fees that involved a lease agreement with XXXX XXXX XXXX ( located in XXXX, XXXX XXXX ) Place on XXXX/XXXX/2014 ( certified mail Receipt ), asking this company to dispute the charges. XXXX XXXX never responded to my request after 30 days. 
XXXX XXXX waited 45 days later and placed this item on my credit. They never disputed my item with the company. ( XXXX XXXX located in XXXX XXXX or Leasing agency ).",Debt collection,False,Credit reporting,False,tfidf_wrong_comparison_right
262,Mortgage,Mortgage,0.7962737259584375,Mortgage,0.9683531522750854,True,True,"When applying for the loan, borrower costs provided to us over the phone was different from final borrower costs on the disclosures. Approximately XXXX $ had been used to buy down the interest rate and financed into the loan, thereby increasing the loan balance significantly. This appeared to have been done with the sole aim of appearing to be competitive. When asked to pick a different rate, several additional fees were added, again bringing up the final borrower costs for the loan.",Mortgage,False,Mortgage,False,both_right
263,Bank account or service,Bank account or service,0.8521007406876915,Bank account or service,0.9796298742294312,True,True,"I have a complaint against U.S. Bank XXXX. I noticed I was overdrawn XXXX. I immediately deposited XXXX which brought up account balance to a little over XXXX. Then they still going to charge me an overdraft charge. Why? The account was n't overdrawn at that time ...? Seems they are mad because I got the account back up before they had the chance to charge me, but chose to do so anyway. I want my XXXX back. How dare they pull such shady practices. Most banks give you XXXX free overdraft, this was my fIrst XXXX. Please help me as banks should not be able to pull such bogus deals. 

I want my XXXX refunded. 

































XXXX {$20.00} - {$4.00} XXXX/XXXX/2016 XXXX XXXX XXXX XXXX Ia {$6.00} {$15.00}",Bank account or service,False,Bank account or service,False,both_right
264,Bank account or service,Bank account or service,0.5857814779612196,Credit card,0.9250972270965576,True,False,"Thank you for submitting an Online Consumer Complaint. A representative from the Consumer Services Office may contact youto follow up. 

Here is a copy of the information you provided. Please save for your records. 

Please do not reply to this email. 



Name : XXXX XXXXAddress : XXXX, PA XXXXHome Phone : Day Phone : XXXX Ext : Email Address : XXXXXXXXXXXX Name : wells fargoAccount/Loan # : XXXXInstitution Address:XXXX XXXX XXXX XXXX. 
XXXX, pa. XXXXReason for Contact : On XXXX XXXX 2015 th I authorized my credit card ( XXXX XXXX ) to debit my account on XXXX XXXX XXXX for XXXX. on sat XXXX XXXX 2015 my credit card credited my card with the XXXX payment as if it was received. on monday XXXX XXXX XXXX 2015 wells fargo removed the XXXX from my account. later that day. i overdrew my account. using overdraft protection. yet they ( wells fargo ) still charged me XXXX XXXX overdraft fees. i politely asked them to be fair and human and just charge me XXXX. however the refused. I know its inhumane however im uncertain whether they violated any laws. also when i contacted them a representative tried to tell me my credit card company credited my account but they didnt actually take the funds until later. any event the funds were removed. prior to me overdrawing. 

Signature : XXXXDate : XXXX/XXXX/2015Name of Attached File:",Bank account or service,False,Bank account or service,True,tfidf_right_comparison_wrong
265,Bank account or service,Bank account or service,0.9720274932310122,Bank account or service,0.9780104756355286,True,True,"The US Bank cancelled my Checking Account 's Overdraft Coverage without Notice because according to US Bank Manager, XXXX XXXX XXXX, XXXX XXXX XXXX, the US Bank knew that I could have changed my direct deposit funds electronically to another Bank .Additionally, Manager XXXX XXXX stated another reason for the Cancellation. He stated that the US bank letter dated XXXX/XXXX/15 was "" computer made '' due to the XXXX "" cycle '' and He did not have any responsibility to seek an immediate solution. Because of the US Bank decision to Cancel my Checking Account 's Overdraft Coverage It cost me XXXX minutes of cellular telephone minutes, {$30.00} dollars additionally minutes to keep my phone active and severe emotional stress harmful for my well being. As of Today, the US Bank FAILED to clearly explained their motives for the cancellation of the agreement while kept collecting all overdraft fees of {$36.00} per overdraft and {$25.00} weekly fees. 
Worst yet, the US bank 's Customer Services representatives including XXXX XXXX XXXX XXXX XXXX XXXX did not have knowledge on how to resolve this Cancellation knowing that the US Bank collected all fees, that the Overdrawn amount was secure by an electronic direct deposit scheduled for XXXX/XXXX/15 of {$1500.00} that covers the amount of {$720.00}.",Bank account or service,False,Bank account or service,False,both_right
266,Debt collection,Credit reporting,0.4083897923954467,Debt collection,0.9545652866363525,False,True,"I have no idea where this debt has come from. I have never opened an account with XXXX Anyone Can use your name to open an account if they have colllected your personal information. I feel asif someone maybe a family member or friend took my personal information for their own benefit and opened a cellphone Account. They obviously did n't finish paying because let 's be honest, it wo n't fall back on them. I 'm Only XXXX years old, just starting off my credit score.. And my life as well, I need this fixed. 

Thank you sincerely, XXXX XXXX XXXX",Bank account or service,True,Debt collection,False,tfidf_wrong_comparison_right
267,Credit card,Credit card,0.7564716740727125,Credit card,0.9314451217651367,True,True,"On XXXX XXXX, 2015 I sent via snail mail the Capital One Transaction Support Center the following signed letter : "" Dear Capital One, Thank you for your update notice dated XXXX XXXX, 2015 regarding my dispute with XXXX XXXX billed on XXXX/XXXX/2015 for {$71.00}. Per your letter, I write to provide you with documentation ( email sent by the merchant XXXX XXXX, 2015 ) that substantiates that my subscription ( ID : XXXX ) was canceled, the request was processed, and no further charges should have been posted by the merchant. 
This enclosed email from the merchant is the only documentation I received from the merchant ; therefore, I thought everything was resolved. Clearly, the merchant from the beginning should not have applied a charge to my account. I 'm grateful that you credited my account when I initially contacted you, and once again respectfully request that you re-credit my account for {$71.00} because I have provided per your request substantial documentation to the contrary. '' On XXXX XXXX, 2015 I received a response notice from Capital One Transaction Support Center re : case number XXXX stating "" While we have received your response to this request, it lacks all of the previously requested information needed to validate your dispute. Unfortunately, based on the information we have, we are unable to assist with your claim because we can only request a credit from a merchant if we can document how the merchant violated an operating guideline. Unfortunately, based on the information we have, we 're unable to request a credit from the merchant. If you still want to dispute the charge, please contact the merchant and work directly with them. At this time, we consider your case closed. ''",Credit card,False,Credit card,False,both_right
268,Mortgage,Mortgage,0.8145003151210263,Mortgage,0.9723598957061768,True,True,"I applied for assistance in saving my home on XXXX XXXX, 2015 by submitting a complete financial package to my servicer Nationstar. On XXXX XXXX, 2015 I was advised I was denied for a loan modification on XXXX XXXX, 2015. I have been trying to get a copy of my denial letter and NPV chart so my attorney can appeal the denial however Nationstar is evading giving me the information. They are stalling and making me request these items in writing and soon my ability to appeal my denial will be over because they have stalled now XXXX days and I only have XXXX days to appeal. I have been told this is a common tactic used by Nationstar to stall after denial in order to evade an appeal. They finally sent my attorney the denial letter by fax on XXXX XXXX, 2015. But they purposely left out the NPV chart and said I have to request that in writing. Another stall tactic to burn more time with the goal of pushing me past the XXXX days period to appeal. I am now waiting XXXX days and still no NPV chart. Attached I have included my written requests required by Nationstar just to get a copy of my denial. I know there was an error in my last review. The reason they are telling me I was denied was due to "" Negative disposable Income ''. I know this is not true. There is some sort of mistake with the information they have and the only way I can find out what information is wrong is if they give me my denial letter NPV chart in a timely manner. Please stop Nationstar from this practice of stalling and avoiding issuing a denial letter and NPV chart. It does n't seem right that they are now requiring people to request the NPV in writing and only issuing it to them after the time period to appeal has expired or almost about to expire. I am running out of time and Nationstar is purposely stalling so I can not appeal. This is wrong and I am sure they are doing this to many people.",Mortgage,False,Mortgage,False,both_right
269,Bank account or service,Bank account or service,0.7415609374629957,Debt collection,0.37826669216156006,True,False,I was overdrawn on my account and was charged XXXX in fees.,Bank account or service,False,Debt collection,False,tfidf_right_comparison_wrong
270,Credit card,Credit card,0.4936569082384117,Credit card,0.6909652948379517,True,True,Found out that JPMORGAN CHASE BANK has issued XXXXcredit cards to someone in my name and the cards are charged off and no information has been giving to me about the application which I did not apply for.,Credit card,False,Credit card,False,both_right
271,Credit reporting,Credit reporting,0.6526937353868468,Credit reporting,0.7061623930931091,True,True,"I had a account with XXXX that was eventually sent to a collection agency, it has been on all XXXX of my credit files for over 7 years with XXXX collection agency and as of XXXX 2015 it had been resold to another collection agency and is being report as a new collection account on my credit file as of that date. The account should have been removed from my credit file in XXXX 2015 for good. The Collection Agency is XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX WA XXXX ( XXXX ) XXXX and its for XXXX XXXX Account # XXXX for XXXX. I feel that the agency is unfairly putting fraudulent info on my credit report.",Credit reporting,False,Credit reporting,False,both_right
272,Debt collection,Debt collection,0.6220807771294983,Debt collection,0.7062826752662659,True,True,"I checked my credit reports with all XXXX major credit bureaus ( XXXX, XXXX and XXXX ). I noticed a collection account with Midland Credit Management XXXX. I sent all XXXX credit bureaus disputes back in XXXX 2015 disputing the validity of this account. Midland Credit Managment responds validating this account and sending a last statement showing a charge off from the original creditor. I disputed this account a 2nd time with Midland Credit Management letting them know that the information that they furnished is not sufficient and that I would need them to validate this account pursuant to the Texas Finance Code 392 or delete the tradeline from all XXXX credit bureaus. I never received a response back and they are still reporting inaccurate information in clear violation. Midland Credit Reporting has recently been investigated by the CFPB for its deceptive collection practices and violations of federal and state laws.",Debt collection,False,Debt collection,False,both_right
273,Credit card,Debt collection,0.881729556224399,Debt collection,0.8479141592979431,False,False,The bank did not validate this debt based on the FCRA. I do not owe the alleged debt.,Bank account or service,True,Bank account or service,True,both_wrong
